algorithm,time_elapsed,coverage_type,mean,std,min,max,sample_size
confuzzius,2.0,code,80.55285194958036,15.934433033481788,51.21457489878543,98.4126984126984,11
confuzzius,2.0,branch,75.58982683982684,26.78385280382982,0.0,100.0,11
confuzzius,4.0,code,82.05357345030185,16.16875709625856,51.21457489878543,98.4126984126984,11
confuzzius,4.0,branch,76.23917748917748,26.934430450937413,0.0,100.0,11
confuzzius,6.0,code,84.93957633630474,15.11356265339408,51.21457489878543,98.4126984126984,11
confuzzius,6.0,branch,77.53787878787878,27.01545323832214,0.0,100.0,11
confuzzius,8.0,code,85.08749858949015,15.020578981944917,51.88933873144399,98.4126984126984,11
confuzzius,8.0,branch,78.00459956709956,27.03974542299511,0.0,100.0,11
confuzzius,10.0,code,85.08749858949015,15.020578981944917,51.88933873144399,98.4126984126984,11
confuzzius,10.0,branch,78.00459956709956,27.03974542299511,0.0,100.0,11
confuzzius,12.0,code,85.08749858949015,15.020578981944917,51.88933873144399,98.4126984126984,11
confuzzius,12.0,branch,78.00459956709956,27.03974542299511,0.0,100.0,11
confuzzius,14.0,code,85.08749858949015,15.020578981944917,51.88933873144399,98.4126984126984,11
confuzzius,14.0,branch,78.00459956709956,27.03974542299511,0.0,100.0,11
confuzzius,16.0,code,85.08749858949015,15.020578981944917,51.88933873144399,98.4126984126984,11
confuzzius,16.0,branch,78.00459956709956,27.03974542299511,0.0,100.0,11
confuzzius,18.0,code,85.08749858949015,15.020578981944917,51.88933873144399,98.4126984126984,11
confuzzius,18.0,branch,78.00459956709956,27.03974542299511,0.0,100.0,11
confuzzius,20.0,code,85.08749858949015,15.020578981944917,51.88933873144399,98.4126984126984,11
confuzzius,20.0,branch,78.00459956709956,27.03974542299511,0.0,100.0,11
confuzzius,22.0,code,86.67850249588831,14.432589876531118,51.88933873144399,99.01960784313727,11
confuzzius,22.0,branch,80.05005411255411,27.53431157029688,0.0,100.0,11
confuzzius,24.0,code,86.67850249588831,14.432589876531118,51.88933873144399,99.01960784313727,11
confuzzius,24.0,branch,80.05005411255411,27.53431157029688,0.0,100.0,11
confuzzius,26.0,code,86.67850249588831,14.432589876531118,51.88933873144399,99.01960784313727,11
confuzzius,26.0,branch,80.05005411255411,27.53431157029688,0.0,100.0,11
confuzzius,28.0,code,86.67850249588831,14.432589876531118,51.88933873144399,99.01960784313727,11
confuzzius,28.0,branch,80.05005411255411,27.53431157029688,0.0,100.0,11
confuzzius,30.0,code,86.67850249588831,14.432589876531118,51.88933873144399,99.01960784313727,11
confuzzius,30.0,branch,80.05005411255411,27.53431157029688,0.0,100.0,11
confuzzius,32.0,code,86.67850249588831,14.432589876531118,51.88933873144399,99.01960784313727,11
confuzzius,32.0,branch,80.05005411255411,27.53431157029688,0.0,100.0,11
confuzzius,34.0,code,86.67850249588831,14.432589876531118,51.88933873144399,99.01960784313727,11
confuzzius,34.0,branch,80.05005411255411,27.53431157029688,0.0,100.0,11
confuzzius,36.0,code,86.67850249588831,14.432589876531118,51.88933873144399,99.01960784313727,11
confuzzius,36.0,branch,80.05005411255411,27.53431157029688,0.0,100.0,11
confuzzius,38.0,code,86.67850249588831,14.432589876531118,51.88933873144399,99.01960784313727,11
confuzzius,38.0,branch,80.05005411255411,27.53431157029688,0.0,100.0,11
confuzzius,40.0,code,86.67850249588831,14.432589876531118,51.88933873144399,99.01960784313727,11
confuzzius,40.0,branch,80.05005411255411,27.53431157029688,0.0,100.0,11
confuzzius,42.0,code,86.67850249588831,14.432589876531118,51.88933873144399,99.01960784313727,11
confuzzius,42.0,branch,80.05005411255411,27.53431157029688,0.0,100.0,11
confuzzius,44.0,code,86.67850249588831,14.432589876531118,51.88933873144399,99.01960784313727,11
confuzzius,44.0,branch,80.05005411255411,27.53431157029688,0.0,100.0,11
confuzzius,46.0,code,86.67850249588831,14.432589876531118,51.88933873144399,99.01960784313727,11
confuzzius,46.0,branch,80.05005411255411,27.53431157029688,0.0,100.0,11
confuzzius,48.0,code,86.67850249588831,14.432589876531118,51.88933873144399,99.01960784313727,11
confuzzius,48.0,branch,80.05005411255411,27.53431157029688,0.0,100.0,11
confuzzius,50.0,code,86.67850249588831,14.432589876531118,51.88933873144399,99.01960784313727,11
confuzzius,50.0,branch,80.05005411255411,27.53431157029688,0.0,100.0,11
confuzzius,52.0,code,86.67850249588831,14.432589876531118,51.88933873144399,99.01960784313727,11
confuzzius,52.0,branch,80.05005411255411,27.53431157029688,0.0,100.0,11
confuzzius,54.0,code,86.67850249588831,14.432589876531118,51.88933873144399,99.01960784313727,11
confuzzius,54.0,branch,80.05005411255411,27.53431157029688,0.0,100.0,11
confuzzius,56.0,code,86.67850249588831,14.432589876531118,51.88933873144399,99.01960784313727,11
confuzzius,56.0,branch,80.69940476190476,27.7436663266703,0.0,100.0,11
confuzzius,58.0,code,86.67850249588831,14.432589876531118,51.88933873144399,99.01960784313727,11
confuzzius,58.0,branch,80.69940476190476,27.7436663266703,0.0,100.0,11
confuzzius,60.0,code,86.67850249588831,14.432589876531118,51.88933873144399,99.01960784313727,11
confuzzius,60.0,branch,80.69940476190476,27.7436663266703,0.0,100.0,11
collaborative,2.0,code,79.8134574912767,15.158016889660233,51.21457489878543,98.4126984126984,11
collaborative,2.0,branch,76.09036796536796,26.461013785963463,0.0,100.0,11
collaborative,4.0,code,82.69946037727958,14.480556215592584,51.21457489878543,98.4126984126984,11
collaborative,4.0,branch,77.38906926406926,26.897877508753886,0.0,100.0,11
collaborative,6.0,code,83.55306686468889,15.075558094097671,51.21457489878543,98.4126984126984,11
collaborative,6.0,branch,78.14664502164501,27.170599652411042,0.0,100.0,11
collaborative,8.0,code,85.67767428341395,15.537177910390717,51.21457489878543,99.01960784313727,11
collaborative,8.0,branch,79.70508658008659,27.861861276181237,0.0,100.0,11
collaborative,10.0,code,86.5342645017063,14.643644832756442,51.21457489878543,99.01960784313727,11
collaborative,10.0,branch,79.9891774891775,27.828349673878833,0.0,100.0,11
collaborative,12.0,code,87.17972233026273,13.683773130014574,56.34278002699056,99.01960784313727,11
collaborative,12.0,branch,81.14448051948051,27.441061220875387,0.0,100.0,11
collaborative,14.0,code,87.17972233026273,13.683773130014574,56.34278002699056,99.01960784313727,11
collaborative,14.0,branch,81.14448051948051,27.441061220875387,0.0,100.0,11
collaborative,16.0,code,87.17972233026273,13.683773130014574,56.34278002699056,99.01960784313727,11
collaborative,16.0,branch,81.14448051948051,27.441061220875387,0.0,100.0,11
collaborative,18.0,code,87.17972233026273,13.683773130014574,56.34278002699056,99.01960784313727,11
collaborative,18.0,branch,81.14448051948051,27.441061220875387,0.0,100.0,11
collaborative,20.0,code,87.58376273430314,13.913813816376496,56.34278002699056,99.01960784313727,11
collaborative,20.0,branch,81.79383116883116,27.709230130972443,0.0,100.0,11
collaborative,22.0,code,87.58376273430314,13.913813816376496,56.34278002699056,99.01960784313727,11
collaborative,22.0,branch,82.07792207792207,27.68616888869537,0.0,100.0,11
collaborative,24.0,code,87.71258128417432,13.627594098992137,57.75978407557355,99.01960784313727,11
collaborative,24.0,branch,82.43303571428571,27.537595227836313,0.0,100.0,11
collaborative,26.0,code,87.71258128417432,13.627594098992137,57.75978407557355,99.01960784313727,11
collaborative,26.0,branch,82.43303571428571,27.537595227836313,0.0,100.0,11
collaborative,28.0,code,88.21763178922482,13.937728486490169,57.75978407557355,99.20634920634922,11
collaborative,28.0,branch,83.08238636363636,27.858096041806313,0.0,100.0,11
collaborative,30.0,code,88.21763178922482,13.937728486490169,57.75978407557355,99.20634920634922,11
collaborative,30.0,branch,83.08238636363636,27.858096041806313,0.0,100.0,11
collaborative,32.0,code,88.21763178922482,13.937728486490169,57.75978407557355,99.20634920634922,11
collaborative,32.0,branch,83.08238636363636,27.858096041806313,0.0,100.0,11
collaborative,34.0,code,88.21763178922482,13.937728486490169,57.75978407557355,99.20634920634922,11
collaborative,34.0,branch,83.08238636363636,27.858096041806313,0.0,100.0,11
collaborative,36.0,code,88.21763178922482,13.937728486490169,57.75978407557355,99.20634920634922,11
collaborative,36.0,branch,83.08238636363636,27.858096041806313,0.0,100.0,11
collaborative,38.0,code,88.21763178922482,13.937728486490169,57.75978407557355,99.20634920634922,11
collaborative,38.0,branch,83.08238636363636,27.858096041806313,0.0,100.0,11
collaborative,40.0,code,88.21763178922482,13.937728486490169,57.75978407557355,99.20634920634922,11
collaborative,40.0,branch,83.08238636363636,27.858096041806313,0.0,100.0,11
collaborative,42.0,code,89.15711783509384,13.356415441668819,57.75978407557355,99.20634920634922,11
collaborative,42.0,branch,83.65056818181819,27.8786578519882,0.0,100.0,11
collaborative,44.0,code,89.15711783509384,13.356415441668819,57.75978407557355,99.20634920634922,11
collaborative,44.0,branch,83.65056818181819,27.8786578519882,0.0,100.0,11
collaborative,46.0,code,89.15711783509384,13.356415441668819,57.75978407557355,99.20634920634922,11
collaborative,46.0,branch,83.65056818181819,27.8786578519882,0.0,100.0,11
collaborative,48.0,code,89.15711783509384,13.356415441668819,57.75978407557355,99.20634920634922,11
collaborative,48.0,branch,83.65056818181819,27.8786578519882,0.0,100.0,11
collaborative,50.0,code,89.15711783509384,13.356415441668819,57.75978407557355,99.20634920634922,11
collaborative,50.0,branch,83.65056818181819,27.8786578519882,0.0,100.0,11
collaborative,52.0,code,89.15711783509384,13.356415441668819,57.75978407557355,99.20634920634922,11
collaborative,52.0,branch,83.65056818181819,27.8786578519882,0.0,100.0,11
collaborative,54.0,code,89.15711783509384,13.356415441668819,57.75978407557355,99.20634920634922,11
collaborative,54.0,branch,83.65056818181819,27.8786578519882,0.0,100.0,11
collaborative,56.0,code,89.15711783509384,13.356415441668819,57.75978407557355,99.20634920634922,11
collaborative,56.0,branch,83.65056818181819,27.8786578519882,0.0,100.0,11
collaborative,58.0,code,89.15711783509384,13.356415441668819,57.75978407557355,99.20634920634922,11
collaborative,58.0,branch,83.65056818181819,27.8786578519882,0.0,100.0,11
collaborative,60.0,code,89.15711783509384,13.356415441668819,57.75978407557355,99.20634920634922,11
collaborative,60.0,branch,83.65056818181819,27.8786578519882,0.0,100.0,11
